*cu10percent_toluene
*
*Density:	1.68 (g/cm3)
*Mean Excitation Energy:	74.6 (eV)
*Atomic Constituents:	
*C7H8	 0.90
*Cu	 0.10
*
*Kinetic Energy(MeV)	Stopping Power (MeV cm2/g)	CSDA Range(g/cm2)	RadiationYield	Density EffectParameterCollision	Radiative	Total
1.000E-02	2.173E+01	3.877E-03	2.173E+01	2.611E-04	9.490E-05	0.000E+00
1.250E-02	1.827E+01	3.950E-03	1.828E+01	3.871E-04	1.154E-04	0.000E+00
1.500E-02	1.586E+01	4.006E-03	1.586E+01	5.344E-04	1.352E-04	0.000E+00
1.750E-02	1.407E+01	4.050E-03	1.407E+01	7.021E-04	1.545E-04	0.000E+00
2.000E-02	1.269E+01	4.086E-03	1.269E+01	8.894E-04	1.733E-04	0.000E+00
2.500E-02	1.068E+01	4.145E-03	1.069E+01	1.321E-03	2.097E-04	0.000E+00
3.000E-02	9.295E+00	4.192E-03	9.299E+00	1.824E-03	2.447E-04	0.000E+00
3.500E-02	8.273E+00	4.232E-03	8.277E+00	2.395E-03	2.785E-04	0.000E+00
4.000E-02	7.488E+00	4.267E-03	7.492E+00	3.031E-03	3.112E-04	0.000E+00
4.500E-02	6.865E+00	4.300E-03	6.869E+00	3.729E-03	3.431E-04	0.000E+00
5.000E-02	6.358E+00	4.330E-03	6.362E+00	4.486E-03	3.741E-04	0.000E+00
5.500E-02	5.937E+00	4.360E-03	5.941E+00	5.300E-03	4.044E-04	0.000E+00
6.000E-02	5.581E+00	4.388E-03	5.585E+00	6.168E-03	4.340E-04	0.000E+00
7.000E-02	5.014E+00	4.443E-03	5.018E+00	8.061E-03	4.914E-04	0.000E+00
8.000E-02	4.580E+00	4.498E-03	4.585E+00	1.015E-02	5.467E-04	0.000E+00
9.000E-02	4.238E+00	4.553E-03	4.243E+00	1.242E-02	6.001E-04	0.000E+00
1.000E-01	3.962E+00	4.610E-03	3.967E+00	1.486E-02	6.519E-04	0.000E+00
1.250E-01	3.458E+00	4.757E-03	3.462E+00	2.163E-02	7.754E-04	0.000E+00
1.500E-01	3.117E+00	4.912E-03	3.122E+00	2.926E-02	8.919E-04	0.000E+00
1.750E-01	2.872E+00	5.075E-03	2.877E+00	3.761E-02	1.003E-03	0.000E+00
2.000E-01	2.689E+00	5.245E-03	2.694E+00	4.660E-02	1.110E-03	0.000E+00
2.500E-01	2.434E+00	5.609E-03	2.439E+00	6.617E-02	1.312E-03	0.000E+00
3.000E-01	2.263E+00	6.004E-03	2.269E+00	8.747E-02	1.506E-03	2.609E-02
3.500E-01	2.143E+00	6.425E-03	2.149E+00	1.101E-01	1.693E-03	6.781E-02
4.000E-01	2.054E+00	6.873E-03	2.061E+00	1.339E-01	1.877E-03	1.104E-01
4.500E-01	1.988E+00	7.345E-03	1.995E+00	1.586E-01	2.058E-03	1.535E-01
5.000E-01	1.936E+00	7.839E-03	1.944E+00	1.840E-01	2.238E-03	1.967E-01
5.500E-01	1.896E+00	8.352E-03	1.904E+00	2.100E-01	2.417E-03	2.398E-01
6.000E-01	1.864E+00	8.882E-03	1.873E+00	2.365E-01	2.596E-03	2.828E-01
7.000E-01	1.816E+00	9.990E-03	1.826E+00	2.906E-01	2.954E-03	3.673E-01
8.000E-01	1.784E+00	1.115E-02	1.795E+00	3.459E-01	3.315E-03	4.497E-01
9.000E-01	1.762E+00	1.237E-02	1.774E+00	4.019E-01	3.679E-03	5.294E-01
1.000E+00	1.746E+00	1.363E-02	1.760E+00	4.585E-01	4.047E-03	6.064E-01
1.250E+00	1.725E+00	1.697E-02	1.742E+00	6.014E-01	4.985E-03	7.865E-01
1.500E+00	1.718E+00	2.054E-02	1.738E+00	7.452E-01	5.949E-03	9.503E-01
1.750E+00	1.717E+00	2.429E-02	1.741E+00	8.889E-01	6.939E-03	1.100E+00
2.000E+00	1.720E+00	2.820E-02	1.748E+00	1.032E+00	7.951E-03	1.237E+00
2.500E+00	1.730E+00	3.640E-02	1.767E+00	1.317E+00	1.003E-02	1.480E+00
3.000E+00	1.743E+00	4.502E-02	1.788E+00	1.598E+00	1.217E-02	1.691E+00
3.500E+00	1.756E+00	5.398E-02	1.810E+00	1.876E+00	1.436E-02	1.878E+00
4.000E+00	1.768E+00	6.323E-02	1.831E+00	2.151E+00	1.659E-02	2.045E+00
4.500E+00	1.780E+00	7.272E-02	1.853E+00	2.422E+00	1.884E-02	2.198E+00
5.000E+00	1.791E+00	8.243E-02	1.873E+00	2.691E+00	2.112E-02	2.337E+00
5.500E+00	1.801E+00	9.234E-02	1.893E+00	2.956E+00	2.342E-02	2.466E+00
6.000E+00	1.810E+00	1.024E-01	1.912E+00	3.219E+00	2.573E-02	2.587E+00
7.000E+00	1.827E+00	1.230E-01	1.950E+00	3.737E+00	3.039E-02	2.806E+00
8.000E+00	1.841E+00	1.441E-01	1.985E+00	4.245E+00	3.507E-02	3.001E+00
9.000E+00	1.854E+00	1.657E-01	2.020E+00	4.744E+00	3.977E-02	3.179E+00
1.000E+01	1.865E+00	1.877E-01	2.053E+00	5.235E+00	4.446E-02	3.342E+00
1.250E+01	1.889E+00	2.439E-01	2.133E+00	6.430E+00	5.616E-02	3.700E+00
1.500E+01	1.908E+00	3.016E-01	2.209E+00	7.581E+00	6.771E-02	4.006E+00
1.750E+01	1.923E+00	3.605E-01	2.284E+00	8.694E+00	7.908E-02	4.272E+00
2.000E+01	1.936E+00	4.203E-01	2.356E+00	9.772E+00	9.021E-02	4.508E+00
2.500E+01	1.957E+00	5.421E-01	2.499E+00	1.183E+01	1.118E-01	4.912E+00
3.000E+01	1.974E+00	6.659E-01	2.640E+00	1.378E+01	1.323E-01	5.249E+00
3.500E+01	1.988E+00	7.913E-01	2.779E+00	1.562E+01	1.518E-01	5.539E+00
4.000E+01	2.000E+00	9.179E-01	2.918E+00	1.738E+01	1.703E-01	5.793E+00
4.500E+01	2.010E+00	1.046E+00	3.056E+00	1.905E+01	1.879E-01	6.018E+00
5.000E+01	2.020E+00	1.174E+00	3.194E+00	2.065E+01	2.046E-01	6.221E+00
5.500E+01	2.028E+00	1.304E+00	3.331E+00	2.219E+01	2.205E-01	6.405E+00
6.000E+01	2.035E+00	1.434E+00	3.469E+00	2.366E+01	2.356E-01	6.574E+00
7.000E+01	2.049E+00	1.695E+00	3.744E+00	2.643E+01	2.639E-01	6.874E+00
8.000E+01	2.060E+00	1.959E+00	4.019E+00	2.901E+01	2.897E-01	7.135E+00
9.000E+01	2.070E+00	2.224E+00	4.294E+00	3.142E+01	3.134E-01	7.366E+00
1.000E+02	2.079E+00	2.490E+00	4.569E+00	3.367E+01	3.353E-01	7.573E+00
1.250E+02	2.098E+00	3.160E+00	5.258E+00	3.877E+01	3.831E-01	8.013E+00
1.500E+02	2.113E+00	3.835E+00	5.948E+00	4.324E+01	4.232E-01	8.373E+00
1.750E+02	2.126E+00	4.513E+00	6.639E+00	4.721E+01	4.574E-01	8.678E+00
2.000E+02	2.137E+00	5.194E+00	7.330E+00	5.080E+01	4.871E-01	8.943E+00
2.500E+02	2.155E+00	6.561E+00	8.717E+00	5.704E+01	5.360E-01	9.386E+00
3.000E+02	2.171E+00	7.935E+00	1.011E+01	6.237E+01	5.750E-01	9.748E+00
3.500E+02	2.183E+00	9.313E+00	1.150E+01	6.700E+01	6.068E-01	1.005E+01
4.000E+02	2.194E+00	1.069E+01	1.289E+01	7.111E+01	6.335E-01	1.032E+01
4.500E+02	2.204E+00	1.208E+01	1.428E+01	7.479E+01	6.562E-01	1.056E+01
5.000E+02	2.213E+00	1.346E+01	1.568E+01	7.813E+01	6.759E-01	1.077E+01
5.500E+02	2.221E+00	1.485E+01	1.707E+01	8.119E+01	6.930E-01	1.096E+01
6.000E+02	2.228E+00	1.624E+01	1.847E+01	8.400E+01	7.082E-01	1.113E+01
7.000E+02	2.241E+00	1.902E+01	2.126E+01	8.904E+01	7.338E-01	1.144E+01
8.000E+02	2.252E+00	2.181E+01	2.406E+01	9.346E+01	7.546E-01	1.170E+01
9.000E+02	2.261E+00	2.460E+01	2.686E+01	9.739E+01	7.720E-01	1.194E+01
