*gd5percent_toluene
*
*Density:	1.22 (g/cm3)
*Mean Excitation Energy:	70.3 (eV)
*Atomic Constituents:	
*C7H8	 0.95
*Gd	 0.05
*
* Kinetic Energy (MeV)	Stopping Power (MeV cm2/g)	CSDA Range(g/cm2)	RadiationYield	Density EffectParameterCollision	Radiative	 Total
1.000E-02	2.206E+01	3.735E-03	2.206E+01	2.567E-04	8.910E-05	0.000E+00
1.250E-02	1.854E+01	3.826E-03	1.854E+01	3.809E-04	1.089E-04	0.000E+00
1.500E-02	1.609E+01	3.898E-03	1.609E+01	5.260E-04	1.281E-04	0.000E+00
1.750E-02	1.427E+01	3.958E-03	1.427E+01	6.914E-04	1.469E-04	0.000E+00
2.000E-02	1.286E+01	4.009E-03	1.287E+01	8.762E-04	1.654E-04	0.000E+00
2.500E-02	1.083E+01	4.096E-03	1.083E+01	1.302E-03	2.013E-04	0.000E+00
3.000E-02	9.417E+00	4.169E-03	9.421E+00	1.798E-03	2.362E-04	0.000E+00
3.500E-02	8.380E+00	4.233E-03	8.384E+00	2.362E-03	2.701E-04	0.000E+00
4.000E-02	7.584E+00	4.291E-03	7.588E+00	2.990E-03	3.033E-04	0.000E+00
4.500E-02	6.951E+00	4.345E-03	6.956E+00	3.679E-03	3.357E-04	0.000E+00
5.000E-02	6.437E+00	4.396E-03	6.441E+00	4.427E-03	3.675E-04	0.000E+00
5.500E-02	6.010E+00	4.445E-03	6.014E+00	5.231E-03	3.987E-04	0.000E+00
6.000E-02	5.649E+00	4.493E-03	5.654E+00	6.089E-03	4.294E-04	0.000E+00
7.000E-02	5.074E+00	4.583E-03	5.078E+00	7.959E-03	4.893E-04	0.000E+00
8.000E-02	4.635E+00	4.670E-03	4.639E+00	1.002E-02	5.475E-04	0.000E+00
9.000E-02	4.288E+00	4.755E-03	4.293E+00	1.227E-02	6.042E-04	0.000E+00
1.000E-01	4.008E+00	4.838E-03	4.013E+00	1.468E-02	6.594E-04	0.000E+00
1.250E-01	3.497E+00	5.043E-03	3.502E+00	2.137E-02	7.923E-04	0.000E+00
1.500E-01	3.152E+00	5.244E-03	3.157E+00	2.891E-02	9.189E-04	0.000E+00
1.750E-01	2.904E+00	5.444E-03	2.910E+00	3.718E-02	1.040E-03	0.000E+00
2.000E-01	2.718E+00	5.646E-03	2.724E+00	4.607E-02	1.157E-03	0.000E+00
2.500E-01	2.460E+00	6.063E-03	2.466E+00	6.543E-02	1.379E-03	0.000E+00
3.000E-01	2.291E+00	6.501E-03	2.297E+00	8.647E-02	1.590E-03	0.000E+00
3.500E-01	2.172E+00	6.960E-03	2.179E+00	1.089E-01	1.793E-03	1.513E-02
4.000E-01	2.083E+00	7.443E-03	2.091E+00	1.323E-01	1.991E-03	4.684E-02
4.500E-01	2.017E+00	7.946E-03	2.025E+00	1.566E-01	2.186E-03	8.095E-02
5.000E-01	1.965E+00	8.470E-03	1.974E+00	1.816E-01	2.378E-03	1.166E-01
5.500E-01	1.924E+00	9.011E-03	1.933E+00	2.072E-01	2.569E-03	1.534E-01
6.000E-01	1.892E+00	9.568E-03	1.902E+00	2.333E-01	2.758E-03	1.908E-01
7.000E-01	1.844E+00	1.073E-02	1.855E+00	2.866E-01	3.137E-03	2.665E-01
8.000E-01	1.812E+00	1.194E-02	1.824E+00	3.410E-01	3.515E-03	3.420E-01
9.000E-01	1.790E+00	1.319E-02	1.803E+00	3.962E-01	3.894E-03	4.164E-01
1.000E+00	1.774E+00	1.450E-02	1.789E+00	4.519E-01	4.276E-03	4.891E-01
1.250E+00	1.753E+00	1.792E-02	1.771E+00	5.925E-01	5.242E-03	6.619E-01
1.500E+00	1.745E+00	2.157E-02	1.767E+00	7.339E-01	6.228E-03	8.210E-01
1.750E+00	1.745E+00	2.538E-02	1.770E+00	8.753E-01	7.234E-03	9.673E-01
2.000E+00	1.748E+00	2.935E-02	1.777E+00	1.016E+00	8.258E-03	1.102E+00
2.500E+00	1.758E+00	3.765E-02	1.796E+00	1.296E+00	1.035E-02	1.342E+00
3.000E+00	1.771E+00	4.634E-02	1.817E+00	1.573E+00	1.250E-02	1.551E+00
3.500E+00	1.784E+00	5.536E-02	1.839E+00	1.847E+00	1.468E-02	1.736E+00
4.000E+00	1.796E+00	6.465E-02	1.861E+00	2.117E+00	1.690E-02	1.902E+00
4.500E+00	1.808E+00	7.418E-02	1.882E+00	2.384E+00	1.914E-02	2.052E+00
5.000E+00	1.819E+00	8.392E-02	1.903E+00	2.648E+00	2.141E-02	2.190E+00
5.500E+00	1.829E+00	9.386E-02	1.923E+00	2.910E+00	2.368E-02	2.317E+00
6.000E+00	1.839E+00	1.039E-01	1.942E+00	3.168E+00	2.597E-02	2.435E+00
7.000E+00	1.856E+00	1.246E-01	1.980E+00	3.678E+00	3.058E-02	2.651E+00
8.000E+00	1.870E+00	1.457E-01	2.016E+00	4.179E+00	3.521E-02	2.843E+00
9.000E+00	1.884E+00	1.673E-01	2.051E+00	4.670E+00	3.984E-02	3.017E+00
1.000E+01	1.895E+00	1.892E-01	2.084E+00	5.154E+00	4.448E-02	3.177E+00
1.250E+01	1.919E+00	2.454E-01	2.165E+00	6.331E+00	5.601E-02	3.529E+00
1.500E+01	1.939E+00	3.031E-01	2.242E+00	7.465E+00	6.740E-02	3.829E+00
1.750E+01	1.954E+00	3.620E-01	2.316E+00	8.562E+00	7.860E-02	4.092E+00
2.000E+01	1.968E+00	4.218E-01	2.389E+00	9.625E+00	8.959E-02	4.325E+00
2.500E+01	1.989E+00	5.436E-01	2.533E+00	1.166E+01	1.108E-01	4.726E+00
3.000E+01	2.006E+00	6.675E-01	2.674E+00	1.358E+01	1.311E-01	5.062E+00
3.500E+01	2.020E+00	7.931E-01	2.813E+00	1.540E+01	1.504E-01	5.350E+00
4.000E+01	2.032E+00	9.199E-01	2.952E+00	1.714E+01	1.687E-01	5.603E+00
4.500E+01	2.043E+00	1.048E+00	3.091E+00	1.879E+01	1.861E-01	5.828E+00
5.000E+01	2.052E+00	1.177E+00	3.229E+00	2.037E+01	2.027E-01	6.030E+00
5.500E+01	2.060E+00	1.306E+00	3.367E+00	2.189E+01	2.185E-01	6.214E+00
6.000E+01	2.068E+00	1.437E+00	3.504E+00	2.335E+01	2.335E-01	6.382E+00
7.000E+01	2.081E+00	1.699E+00	3.780E+00	2.609E+01	2.616E-01	6.682E+00
8.000E+01	2.093E+00	1.963E+00	4.056E+00	2.865E+01	2.873E-01	6.943E+00
9.000E+01	2.103E+00	2.229E+00	4.331E+00	3.103E+01	3.109E-01	7.174E+00
1.000E+02	2.112E+00	2.495E+00	4.607E+00	3.327E+01	3.326E-01	7.380E+00
1.250E+02	2.131E+00	3.167E+00	5.298E+00	3.833E+01	3.803E-01	7.820E+00
1.500E+02	2.146E+00	3.843E+00	5.989E+00	4.276E+01	4.204E-01	8.180E+00
1.750E+02	2.159E+00	4.523E+00	6.682E+00	4.671E+01	4.546E-01	8.485E+00
2.000E+02	2.170E+00	5.205E+00	7.375E+00	5.027E+01	4.842E-01	8.749E+00
2.500E+02	2.189E+00	6.576E+00	8.765E+00	5.648E+01	5.332E-01	9.192E+00
