*w5percent_toluene
*
*Density:	1.79 (g/cm3)
*Mean Excitation Energy:	70.8 (eV)
*Atomic Constituents:	
*C7H8	 0.95
*W	 0.05
*
*Kinetic Energy(MeV)	Stopping Power (MeV cm2/g)	CSDA Range(g/cm2)	RadiationYield	Density EffectParameterCollision	Radiative	Total
1.000E-02	2.202E+01	3.800E-03	2.202E+01	2.572E-04	9.027E-05	0.000E+00
1.250E-02	1.851E+01	3.904E-03	1.851E+01	3.816E-04	1.106E-04	0.000E+00
1.500E-02	1.606E+01	3.988E-03	1.606E+01	5.270E-04	1.304E-04	0.000E+00
1.750E-02	1.424E+01	4.058E-03	1.425E+01	6.926E-04	1.499E-04	0.000E+00
2.000E-02	1.284E+01	4.118E-03	1.285E+01	8.777E-04	1.690E-04	0.000E+00
2.500E-02	1.081E+01	4.221E-03	1.081E+01	1.304E-03	2.063E-04	0.000E+00
3.000E-02	9.403E+00	4.309E-03	9.407E+00	1.801E-03	2.427E-04	0.000E+00
3.500E-02	8.368E+00	4.386E-03	8.372E+00	2.366E-03	2.781E-04	0.000E+00
4.000E-02	7.572E+00	4.455E-03	7.577E+00	2.995E-03	3.129E-04	0.000E+00
4.500E-02	6.941E+00	4.521E-03	6.946E+00	3.685E-03	3.470E-04	0.000E+00
5.000E-02	6.428E+00	4.582E-03	6.432E+00	4.433E-03	3.804E-04	0.000E+00
5.500E-02	6.001E+00	4.640E-03	6.006E+00	5.239E-03	4.133E-04	0.000E+00
6.000E-02	5.641E+00	4.697E-03	5.646E+00	6.098E-03	4.458E-04	0.000E+00
7.000E-02	5.067E+00	4.805E-03	5.072E+00	7.971E-03	5.092E-04	0.000E+00
8.000E-02	4.628E+00	4.907E-03	4.633E+00	1.004E-02	5.710E-04	0.000E+00
9.000E-02	4.282E+00	5.006E-03	4.287E+00	1.228E-02	6.313E-04	0.000E+00
1.000E-01	4.003E+00	5.103E-03	4.008E+00	1.470E-02	6.902E-04	0.000E+00
1.250E-01	3.492E+00	5.338E-03	3.498E+00	2.140E-02	8.324E-04	0.000E+00
1.500E-01	3.148E+00	5.565E-03	3.153E+00	2.895E-02	9.681E-04	0.000E+00
1.750E-01	2.900E+00	5.789E-03	2.906E+00	3.722E-02	1.098E-03	0.000E+00
2.000E-01	2.715E+00	6.013E-03	2.721E+00	4.613E-02	1.224E-03	0.000E+00
2.500E-01	2.455E+00	6.469E-03	2.461E+00	6.551E-02	1.463E-03	1.433E-02
3.000E-01	2.280E+00	6.944E-03	2.287E+00	8.663E-02	1.691E-03	6.104E-02
3.500E-01	2.157E+00	7.437E-03	2.165E+00	1.091E-01	1.912E-03	1.084E-01
4.000E-01	2.068E+00	7.952E-03	2.076E+00	1.327E-01	2.127E-03	1.559E-01
4.500E-01	2.000E+00	8.487E-03	2.009E+00	1.572E-01	2.339E-03	2.033E-01
5.000E-01	1.948E+00	9.041E-03	1.957E+00	1.825E-01	2.547E-03	2.504E-01
5.500E-01	1.907E+00	9.612E-03	1.916E+00	2.083E-01	2.753E-03	2.970E-01
6.000E-01	1.874E+00	1.020E-02	1.884E+00	2.346E-01	2.958E-03	3.431E-01
7.000E-01	1.826E+00	1.141E-02	1.837E+00	2.884E-01	3.366E-03	4.331E-01
8.000E-01	1.793E+00	1.268E-02	1.805E+00	3.434E-01	3.772E-03	5.199E-01
9.000E-01	1.770E+00	1.399E-02	1.784E+00	3.991E-01	4.179E-03	6.035E-01
1.000E+00	1.754E+00	1.535E-02	1.769E+00	4.554E-01	4.587E-03	6.837E-01
1.250E+00	1.732E+00	1.891E-02	1.751E+00	5.976E-01	5.616E-03	8.704E-01
1.500E+00	1.724E+00	2.269E-02	1.747E+00	7.406E-01	6.661E-03	1.039E+00
1.750E+00	1.723E+00	2.664E-02	1.750E+00	8.836E-01	7.724E-03	1.192E+00
2.000E+00	1.726E+00	3.074E-02	1.757E+00	1.026E+00	8.804E-03	1.332E+00
2.500E+00	1.736E+00	3.930E-02	1.775E+00	1.309E+00	1.101E-02	1.581E+00
3.000E+00	1.748E+00	4.827E-02	1.797E+00	1.589E+00	1.325E-02	1.796E+00
3.500E+00	1.761E+00	5.756E-02	1.819E+00	1.866E+00	1.554E-02	1.985E+00
4.000E+00	1.773E+00	6.712E-02	1.840E+00	2.139E+00	1.785E-02	2.156E+00
4.500E+00	1.785E+00	7.692E-02	1.861E+00	2.409E+00	2.019E-02	2.310E+00
5.000E+00	1.795E+00	8.694E-02	1.882E+00	2.677E+00	2.255E-02	2.452E+00
5.500E+00	1.805E+00	9.714E-02	1.902E+00	2.941E+00	2.492E-02	2.583E+00
6.000E+00	1.814E+00	1.075E-01	1.922E+00	3.202E+00	2.730E-02	2.706E+00
7.000E+00	1.831E+00	1.287E-01	1.959E+00	3.718E+00	3.209E-02	2.928E+00
8.000E+00	1.845E+00	1.504E-01	1.995E+00	4.223E+00	3.689E-02	3.128E+00
9.000E+00	1.858E+00	1.725E-01	2.030E+00	4.720E+00	4.170E-02	3.309E+00
1.000E+01	1.869E+00	1.950E-01	2.064E+00	5.209E+00	4.651E-02	3.476E+00
1.250E+01	1.892E+00	2.527E-01	2.144E+00	6.397E+00	5.845E-02	3.841E+00
1.500E+01	1.910E+00	3.119E-01	2.222E+00	7.542E+00	7.024E-02	4.153E+00
1.750E+01	1.925E+00	3.722E-01	2.297E+00	8.648E+00	8.181E-02	4.424E+00
2.000E+01	1.938E+00	4.335E-01	2.371E+00	9.719E+00	9.315E-02	4.664E+00
2.500E+01	1.959E+00	5.584E-01	2.517E+00	1.177E+01	1.150E-01	5.074E+00
3.000E+01	1.975E+00	6.853E-01	2.660E+00	1.370E+01	1.359E-01	5.415E+00
3.500E+01	1.989E+00	8.140E-01	2.803E+00	1.553E+01	1.556E-01	5.707E+00
4.000E+01	2.001E+00	9.440E-01	2.945E+00	1.727E+01	1.744E-01	5.963E+00
4.500E+01	2.011E+00	1.075E+00	3.086E+00	1.893E+01	1.922E-01	6.189E+00
5.000E+01	2.020E+00	1.207E+00	3.227E+00	2.051E+01	2.091E-01	6.393E+00
5.500E+01	2.028E+00	1.340E+00	3.368E+00	2.203E+01	2.252E-01	6.578E+00
6.000E+01	2.036E+00	1.473E+00	3.509E+00	2.348E+01	2.405E-01	6.747E+00
7.000E+01	2.049E+00	1.742E+00	3.791E+00	2.622E+01	2.690E-01	7.048E+00
8.000E+01	2.061E+00	2.013E+00	4.073E+00	2.877E+01	2.951E-01	7.309E+00
9.000E+01	2.071E+00	2.285E+00	4.356E+00	3.114E+01	3.189E-01	7.540E+00
1.000E+02	2.079E+00	2.558E+00	4.638E+00	3.336E+01	3.409E-01	7.748E+00
1.250E+02	2.098E+00	3.247E+00	5.345E+00	3.838E+01	3.888E-01	8.188E+00
1.500E+02	2.114E+00	3.940E+00	6.053E+00	4.277E+01	4.290E-01	8.548E+00
1.750E+02	2.127E+00	4.636E+00	6.762E+00	4.668E+01	4.633E-01	8.853E+00
2.000E+02	2.138E+00	5.335E+00	7.473E+00	5.020E+01	4.929E-01	9.118E+00
2.500E+02	2.156E+00	6.739E+00	8.895E+00	5.632E+01	5.417E-01	9.561E+00
3.000E+02	2.171E+00	8.149E+00	1.032E+01	6.153E+01	5.805E-01	9.923E+00
3.500E+02	2.184E+00	9.564E+00	1.175E+01	6.607E+01	6.122E-01	1.023E+01
4.000E+02	2.195E+00	1.098E+01	1.318E+01	7.009E+01	6.387E-01	1.050E+01
4.500E+02	2.205E+00	1.240E+01	1.461E+01	7.369E+01	6.612E-01	1.073E+01
5.000E+02	2.214E+00	1.382E+01	1.604E+01	7.696E+01	6.807E-01	1.094E+01
5.500E+02	2.222E+00	1.525E+01	1.747E+01	7.994E+01	6.976E-01	1.113E+01
6.000E+02	2.229E+00	1.668E+01	1.890E+01	8.269E+01	7.126E-01	1.130E+01
7.000E+02	2.242E+00	1.953E+01	2.177E+01	8.762E+01	7.380E-01	1.161E+01
8.000E+02	2.253E+00	2.239E+01	2.464E+01	9.193E+01	7.586E-01	1.188E+01
9.000E+02	2.262E+00	2.525E+01	2.752E+01	9.577E+01	7.758E-01	1.211E+01
1.000E+03	2.271E+00	2.812E+01	3.039E+01	9.923E+01	7.904E-01	1.232E+01
