position,L,m,l,R,s,r,k,Lcm,mcm,lcm,Rcm,scm,rcm,kcm,Ncm,Tcm,Chordcm,XLcm,YLcm,XRcm,YRcm,,,
1,20,6.375,2.25,20.25,6.9375,2.625,51,50.8,16.1925,5.715,51.435,17.62125,6.6675,129.54,41.275,40.9575,47.3075,-23.654,46.6725,23.65375,45.24375,,,
2,8.46875,14.375,2.28125,9,14.375,2.625,51,21.510625,36.5125,5.794375,22.86,36.5125,6.6675,129.54,11.90625,12.3825,105.25125,-52.626,26.3525,52.625625,26.3525,,,
3,5.09375,22.3125,2.3125,5.6875,22.25,2.5625,51,12.938125,56.67375,5.87375,14.44625,56.515,6.50875,129.54,3.254375,4.1275,122.158125,-61.079,6.19125,61.0790625,6.35,,,
4,5,30.09375,2.375,5.625,30.125,2.53125,51,12.7,76.438125,6.0325,14.2875,76.5175,6.429375,129.54,2.8575,4.048125,122.634375,-61.317,-13.573125,61.3171875,-13.6525,,,
5,8.1875,37.875,2.4375,8.8125,37.9375,2.5,51,20.79625,96.2025,6.19125,22.38375,96.36125,6.35,129.54,10.795,12.22375,106.52125,-53.261,-33.3375,53.260625,-33.49625,,,
6,18.625,46,2.5,19.1875,46,2.46875,51,47.3075,116.84,6.35,48.73625,116.84,6.270625,129.54,37.1475,38.655625,53.736875,-26.868,-53.975,26.8684375,-53.975,,,
7,,51,,,51,,51,0,129.54,0,0,129.54,0,129.54,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
