# from Rong's WbLS_0302_2022
# Nentries, mean, std dev for L00 - L05
#
# PMT  Nentries mean    std.dev.  period
S0 25377 13.49 9.291 L00
S0 154971 13.32 9.224 L01
S0 9752 13.45 9.414 L02
S0 396513 13.11 9.09 L04
S0 64848 12.95 9.064 L05
#
S1 50754 18.39 11.12 L00
S1 309942 18.17 11.18 L01
S1 19504 18.19 11.27 L02
S1 393026 17.95 11.05 L04
S1 129696 17.74 11.06 L05
#
S2 36131 7.327 6.535 L00
S2 464913 7.323 6.531 L01
S2 29256 7.104 6.48 L02
S2 1189539 7.199 6.489 L04
S2 194544 7.066 6.539 L05
#
S3 101506 5.349 3.891 L00
S3 619664 5.33 3.819 L01
S3 39006 5.341 3.967 L02
S3 1588052 5.174 3.785 L04
S3 259392 3.067 3.763 L05
#
S4 126885 2.597 2.337 L00
S4 774855 2.58 2.316 L01
S4 48760 2.611 2.352 L02
S4 1963585 2.552 2.300 L04
S4 324240 2.486 2.27 L05
#
S5 152262 2.785 2.423 L00
S5 929626 2.703 2.356 L01
S5 58512 2.803 2.361 L02
S5 2379078 2.474 2.289 L04
S5 389088 2.296 2.231 L05
#
S6 177639 12.09 9.85 L00
S6 1064797 12.44 12.96 L01
S6 68264 12.4 10.33 L02
S6 2775591 11.67 9.932 L04
S6 453936 11.27 9.638 L05
#
S7 203016 15.07 11.28 L00
S7 1239768 15.07 11.42 L01
S7 78016 15.26 11.62 L02
S7 3172104 14.72 11.27 L04
S7 518784 14.39 11.14 L05
#
